Symbol,PE Ratio,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,EV/EBIT,Earnings Yield,Ent. Value,EV/Sales,EV/EBITDA,P/EBITDA,FCF / EV,P/FCF,PS Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,P/TBV,Div. Yield,Div. Growth,Payout Ratio,Shareh. Yield,Div. ($),Years,Last Div.
MSFT,30.10,2778970403600,26.51,9.29,22.13,9.26,23.82,3.34%,2769639403600,10.58,19.38,19.56,2.53%,39.68,10.61,9.18,1.62,29.86,39.55,2.52%,17.58,0.87%,10.58%,26.75%,0.85%,3.32,10,0.83
NVDA,36.36,2627636000000,23.90,13.02,41.00,12.86,30.79,2.77%,2594408000000,19.88,30.12,31.31,2.35%,43.18,20.14,33.12,0.94,35.60,42.63,2.32%,35.57,0.04%,150.00%,1.36%,0.58%,0.04,1,0.01
AMZN,32.77,1920515194000,28.34,2.70,16.57,2.74,27.50,3.09%,1950213194000,3.06,15.76,15.94,1.96%,50.25,3.01,6.72,1.28,32.92,51.03,1.99%,7.55,,,,-2.18%,,0,0.00
META,22.92,1385810342142,21.12,7.21,15.17,7.06,19.20,4.50%,1357055342142,8.25,15.75,16.55,3.98%,25.63,8.42,7.59,1.17,21.76,25.10,3.90%,8.60,0.38%,,8.80%,0.95%,2.10,1,0.53
AVGO,83.43,816728715000,25.28,12.40,38.42,13.27,49.55,1.23%,874000715000,16.03,31.81,28.32,2.37%,39.39,14.98,11.70,0.41,86.77,42.15,2.54%,,1.30%,13.45%,106.75%,-2.36%,2.24,5,0.59
WMT,37.86,728410991000,34.42,1.02,19.99,1.09,27.53,2.67%,779487991000,1.14,18.88,17.33,1.68%,55.64,1.07,8.00,3.23,40.11,59.54,1.80%,12.67,1.04%,13.25%,39.00%,1.36%,0.94,52,0.24
TSM,21.39,154362088749,2.42,0.04,2.77,0.03,2.52,23.39%,108699059298,1.22,1.71,11.31,24.43%,5.81,1.73,1.18,1.08,3.01,4.09,17.21%,5.24,1.63%,20.48%,35.74%,1.65%,2.47,1,0.54
LLY,61.56,683414749990,30.83,11.40,77.50,11.90,56.28,1.55%,713635749990,15.84,49.40,33.60,0.53%,181.75,15.17,48.15,1.06,67.39,189.79,0.55%,287.02,0.83%,15.14%,51.24%,0.75%,6.00,10,1.50
UNH,38.56,546993202440,19.92,1.20,22.60,1.30,25.70,2.63%,594784202440,1.49,21.84,15.63,3.48%,26.42,1.37,5.90,1.03,41.29,28.73,3.79%,,1.41%,11.70%,54.16%,2.36%,8.40,10,2.10
KO,28.34,299786686200,22.94,6.09,44.05,6.70,22.39,3.55%,329737686200,7.01,20.87,19.51,1.45%,62.70,6.37,12.06,2.60,31.02,68.97,1.59%,,2.88%,5.36%,82.93%,3.36%,2.04,63,0.51
NVO,19.47,248985506144,2.27,0.72,13.72,0.76,13.65,5.66%,260462320440,6.43,11.86,13.39,4.25%,22.48,6.15,11.56,1.00,18.49,23.52,4.45%,60.60,2.63%,17.49%,51.31%,3.72%,1.61,3,1.10
BABA,15.44,252799668010,1.43,0.24,11.61,0.21,9.89,6.52%,222483173376,1.65,7.57,9.19,6.11%,18.58,1.88,1.85,0.59,13.49,16.35,5.38%,2.42,0.94%,,14.51%,6.45%,0.98,1,0.98
AZN,28.64,399512381353,14.29,6.82,33.68,7.24,40.68,1.76%,424153381353,7.84,24.78,11.46,2.36%,39.98,7.39,9.80,0.95,60.29,42.45,2.50%,,2.37%,6.21%,34.22%,2.33%,1.54,1,1.05
GE,30.14,193119860254,32.25,4.76,41.00,4.87,23.26,3.39%,197791860254,5.11,20.42,21.53,1.92%,50.93,4.99,9.98,11.54,30.17,52.16,1.96%,29.41,0.79%,130.77%,24.04%,1.36%,1.44,2,0.36
SHEL,11.97,182498855000,14.32,0.56,3.34,0.68,6.43,8.82%,220466855000,0.76,3.61,3.43,16.65%,4.97,0.63,1.02,2.47,13.70,6.01,20.11%,1.19,4.79%,7.46%,113.20%,11.69%,2.86,3,0.72
ISRG,76.00,175232302500,59.55,17.93,72.56,17.52,64.39,1.33%,171219002500,20.50,54.21,61.86,0.76%,134.40,20.98,10.66,3.62,73.72,131.32,0.74%,10.88,,,,-1.29%,,0,0.00
RY,12.91,155484239750,8.06,2.38,3.89,1.23,5.12,7.94%,80206466338,1.91,4.82,,47.61%,4.07,3.69,1.63,2.31,6.50,2.10,24.56%,2.42,3.73%,-6.61%,48.34%,2.82%,4.10,4,1.02
DIS,27.27,151881476850,15.31,1.57,10.13,1.98,21.09,3.70%,191703476850,2.07,13.59,8.23,4.39%,18.06,1.64,1.49,0.80,34.14,22.79,5.54%,8.32,1.17%,33.33%,32.52%,2.12%,1.00,1,0.50
UBER,15.50,148416722200,28.02,2.89,20.80,2.90,32.18,6.64%,148698722200,3.38,27.75,41.80,4.64%,21.53,3.37,6.88,43.21,15.09,21.57,4.65%,11.95,,,,-2.81%,,0,0.00
UL,24.71,147648972700,16.75,,10.86,,16.72,4.05%,175185954485,2.77,14.07,11.65,6.68%,12.62,2.33,6.59,2.89,29.28,14.98,7.92%,,3.13%,1.29%,79.12%,3.95%,1.88,2,0.47
SPGI,36.56,138956310000,25.78,9.04,24.43,9.70,28.20,2.77%,149203310000,10.50,23.09,20.34,3.73%,24.97,9.78,4.19,1.93,38.73,26.81,4.00%,,0.84%,2.22%,31.09%,3.05%,3.84,52,0.96
TJX,29.92,142396737000,28.00,2.39,23.28,2.51,23.78,3.42%,149839737000,2.66,20.23,19.23,2.80%,33.92,2.53,16.97,2.77,30.81,35.69,2.95%,17.38,1.33%,12.93%,39.91%,2.80%,1.70,4,0.43
BSX,74.35,137453672775,32.22,7.11,40.02,7.65,56.95,1.35%,147785672775,8.82,38.25,32.18,1.81%,51.52,8.21,6.31,1.78,79.75,55.39,1.94%,,,,,-1.53%,,0,0.00
