Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS
AAPL,141368000000,-9.22%,44569000000,96799000000,-30.94%,-7.62%,-10.40%,-2.22%,1.58%,145.30%,62.96%,50.85%,27.90%,135.78%,2413171,58.75%,25.74%,586280,1.15,7,31.54,8.38,190.42000,117183840,38.27,33.81,46.84,6.30
MSFT,71555000000,1.21%,9331000000,62224000000,,-0.95%,-29.59%,-4.12%,0.34%,33.40%,27.36%,27.50%,18.10%,41.06%,1148254,26.33%,18.70%,406798,0.51,6,63.46,9.04,381.35000,37488366,48.87,40.56,51.75,12.42
NVDA,43210000000,0.30%,33228000000,9982000000,119.24%,-5.12%,-7.81%,31.36%,1.26%,115.40%,90.08%,37.99%,78.80%,59.88%,3624917,79.11%,37.34%,2024444,1.41,6,4.25,54.03,107.57000,432498057,46.37,43.04,59.97,2.94
GOOG,95657000000,-5.75%,73083000000,22574000000,-15.59%,-4.85%,-7.22%,8.86%,3.89%,32.50%,33.25%,22.10%,23.50%,26.76%,1909297,27.01%,19.04%,546129,0.82,7,,11.63,155.37000,34754488,42.97,37.87,50.66,8.05
AMZN,101202000000,-2.82%,-29698000000,130900000000,,3.99%,-3.47%,15.67%,-1.55%,23.70%,15.92%,9.45%,10.30%,18.80%,409999,14.23%,6.56%,38077,1.11,7,9.66,5.20,181.22000,67499898,42.12,37.78,52.32,5.53
GOOGL,95657000000,-5.75%,73083000000,22574000000,-15.59%,-4.85%,-7.22%,8.86%,3.89%,32.50%,33.25%,22.10%,23.50%,26.76%,1909297,27.01%,19.04%,546129,0.82,7,,11.61,152.82000,47048260,42.30,37.35,50.21,8.04
META,77815000000,0.03%,28755000000,49060000000,2.08%,52.35%,31.76%,36.58%,2.07%,38.20%,29.14%,22.14%,25.30%,27.98%,2220976,26.43%,20.16%,841940,0.67,7,,11.15,546.29000,27819437,42.51,42.82,59.04,23.86
BRK.B,47729000000,0.20%,-77033000000,124762000000,,2.97%,-2.74%,3.83%,-7.08%,14.50%,,8.97%,7.90%,11.46%,1081121,11.91%,5.96%,226797,0.38,5,11.25,,515.46002,6152131,51.66,61.28,68.42,41.27
BRK.A,47729000000,0.20%,-77033000000,124762000000,,2.97%,-2.74%,3.83%,-6.90%,14.50%,,8.97%,7.90%,11.46%,1081121,11.91%,5.96%,226797,0.38,5,11.25,,773055.00000,598,51.71,61.01,68.23,61884.47
TSLA,36563000000,6.72%,28350000000,8213000000,18.80%,6.32%,57.04%,-9.35%,3.49%,10.40%,9.95%,14.52%,6.10%,19.34%,777384,6.93%,10.12%,56428,0.84,5,6.26,11.83,252.40000,179050976,46.49,40.15,49.60,2.04
AVGO,9307000000,-1.46%,-57272000000,66579000000,,19.00%,-12.28%,8.29%,-7.01%,14.80%,12.21%,14.35%,6.00%,31.82%,1473757,9.48%,10.06%,272243,0.32,7,10.06,5.83,172.30000,51037273,46.42,44.32,59.77,2.08
WMT,9037000000,-2.65%,-51077000000,60114000000,,1.60%,-1.97%,-3.66%,-7.01%,22.50%,17.24%,12.52%,7.50%,18.44%,324279,14.75%,5.92%,9255,2.64,7,9.19,6.09,90.61000,30026775,54.58,53.03,69.99,2.41
TSM,75779382586,2.41%,45663029451,30116353135,95.06%,9.65%,4.28%,44.15%,29.58%,29.90%,-4.07%,21.43%,19.10%,30.36%,1164819,20.90%,19.04%,472184,0.47,7,4.71,3.56,151.13000,24422033,38.12,33.92,51.81,6.96
LLY,3423200000,8.11%,-30221000000,33644200000,,25.84%,33.37%,17.04%,-4.42%,77.30%,25.19%,21.87%,14.60%,80.80%,958355,22.14%,12.56%,225319,0.62,6,1.26,7.77,720.91000,3417688,31.88,40.12,52.09,11.71
V,17446000000,-1.09%,-3163000000,20609000000,,-0.50%,-0.45%,4.31%,-0.50%,50.70%,39.35%,25.49%,21.60%,39.98%,1164620,33.63%,17.64%,632025,0.40,7,,8.65,324.61000,6905604,43.55,51.41,62.82,9.92
JPM,469317000000,-11.64%,-281829000000,751146000000,,11.02%,15.02%,7.80%,-44.88%,16.60%,,5.39%,1.40%,14.14%,559702,6.06%,1.12%,179263,0.04,2,,,227.11000,16279876,42.90,44.99,58.13,19.75
UNH,29113000000,-1.42%,-47791000000,76904000000,,18.68%,22.97%,13.58%,-8.74%,15.90%,11.90%,15.83%,4.90%,23.78%,1000695,14.26%,7.54%,36013,1.37,5,,3.65,594.40000,8607948,78.49,62.40,57.88,15.51
MA,11138000000,-0.72%,-7088000000,18226000000,,9.45%,16.23%,16.41%,-1.57%,180.10%,55.09%,46.05%,28.60%,151.20%,797932,53.22%,25.48%,364703,0.63,5,,10.31,499.34000,4105194,39.09,43.31,56.34,13.89
XOM,23187000000,-1.97%,-18523000000,41710000000,,-4.38%,0.33%,-2.33%,-4.27%,13.40%,12.65%,10.01%,7.70%,12.68%,5740312,11.58%,6.62%,553038,0.80,5,10.91,4.06,99.93000,33801423,32.54,37.50,44.44,7.84
