Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS,PE Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,PS Ratio,P/FCF,Country,Est. EPS,Est. Rev. Growth,Div. Yield,Div. Growth,Div. ($),Years,Last Div.,Div. CAGR 5Y,Rev Gr. Next Q,Rev Gr. Next 5Y,Rev Gr. This Y,Rev Gr. Next Y,Rev Gr. This Q,Revenue,Est. EPS Growth,Assets,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,Earnings Yield
AAPL,0.3404220864056512,0.0009333236707854309,0.9259335703021522,0.03392581807426842,0.00047972449531404645,0.03197599008474088,8.298520425511732e-05,0.08990769490737806,0.5926405561119154,0.8123288174589939,0.43966507382613557,0.7557488251787184,0.7864694763517024,0.27334168507187084,0.0003665694996398387,0.611194328104759,0.9492672661272391,0.4498786601722158,0.14285714285714285,0.875,0.001727138275043123,0.003717009135426721,0.0002673985865695058,0.018054125455930638,0.5578058212904539,0.4568,0.5408,0.9959874646660402,0.002311344839543793,0.0005963173675569809,0.13938415507829305,0.0009124881111190453,0.0001529901357788645,0.9770979045546255,0.00012558702242627614,0.00015516062624142785,United States,0.9277976613299821,0.0015260865418243094,0.0017702596380802518,0.061744950005204594,0.013333333333333334,0.14084507042253522,0.000286368843069874,0.2709122065914797,1.0342407031447646e-06,0.06292031664888205,1.8726895079264325e-05,1.0639053453796267e-06,1.0309712244100287e-06,0.5815596295279719,0.038049999999999994,0.027050924298139305,1.0,4.5978432701366227e-17,0.0003929342890554215,0.00020212335399080915,0.0007846675328718514,0.9907244504853022
MSFT,0.274231153483588,0.001001044091981675,0.9158452387855985,0.021229025879462307,0.12042844077161728,0.03458090736150343,7.018902660032532e-05,0.08814397059755401,0.5926385334510471,0.8107374734658228,0.439213615210197,0.7554273618058559,0.7844338740834597,0.2719698758101307,0.0001798891095116392,0.6103697603274841,0.9491919394459081,0.4497698245306645,0.09737029140014215,0.75,0.002508438500426017,0.0037209715004178742,0.000533255284519254,0.019905786695252926,0.7048646448198657,0.561,0.6012,0.9959878586564436,0.0022437656490196236,0.00012199659477936568,0.13934205142172207,0.0009033187726090185,0.00021570037817561665,0.9770967455890197,0.00018155852254465356,0.00021700587125143546,United States,0.9288836675591499,0.001620587868578983,0.0029897718332022034,0.06566983228935137,0.04426666666666666,0.14084507042253522,0.0009507445589919816,0.29167496911489266,1.1190129320669303e-06,0.07105988038811822,2.025842344164071e-05,1.1311056830142831e-06,1.1120533738295526e-06,0.3970776360601569,0.03911428571428571,0.044231801643494634,0.9868625085913791,4.834096086388702e-17,0.0005355819764385732,0.00016523703727737998,0.0010790502240167566,0.9907244774426308
NVDA,0.23520476504915114,0.0010316008673994924,0.9214499991864991,0.0035025069687130406,0.001524006633395848,0.032876722199804004,8.5385066682772e-05,0.12537228312527723,0.5926400696491749,0.8119062492050346,0.4400047951819695,0.7555717793982041,0.7970421452755333,0.27224244179731344,0.0,0.6117083574968385,0.9493913839544325,0.0,0.1613361762615494,0.75,0.0012642272209680218,0.004086208320484783,0.00013979790152468841,0.07890545667226256,0.5409118664766944,0.4495,0.6175,0.9959872652974023,0.0026390015208730957,0.00043419358325242675,0.1393131051578295,0.0010436374376867035,0.0002142242828724281,0.9770967587590834,0.0003293170810289019,0.00021681543169790193,United States,0.927319545380034,0.002438720285010141,7.867820613690009e-05,0.1510375527348653,0.0005333333333333334,0.014084507042253521,1.145475372279496e-05,0.3310086478300721,1.6466688425847603e-06,0.078219222274611,2.755342750335075e-05,1.2411062356900599e-06,1.7105214983311113e-06,0.1924045835378883,0.05445,0.008773733093102278,0.8650695855521986,4.227768928594904e-17,0.0007184636269297933,0.00029543207367700226,0.0014390866088702377,0.9907242842484426
AMZN,0.2973674303449615,0.0009993923743915228,0.8965727224010672,0.045875843207716295,0.0,0.03615899002709402,8.940645777776093e-05,0.10880172359166085,0.5926332335675063,0.8106102790081093,0.43907582262486605,0.7551788644234076,0.7828137008495525,0.2716474890473949,6.227479914022348e-05,0.6100703306324909,0.9490620437198626,0.44951136584436135,0.14001421464108033,0.875,0.0013559952239928037,0.00368733024470867,0.00023841609478999722,0.02257375558746789,0.5410136372888255,0.4341,0.551,0.9959874189773941,0.0023475235981072367,8.770834614483927e-05,0.0,0.0009600019561255487,0.0002550787915864853,0.9770963504871086,4.899444331691761e-05,0.00025138021066423415,United States,0.9276132451778591,0.0015849850431504781,0.0,0.0,0.0,0.0,0.0,0.0,1.0883817699477588e-06,0.06691565128917785,1.9545470583293084e-05,1.0953055031434394e-06,1.0743384798086924e-06,0.9368785506883005,0.049564285714285714,0.049127281316666355,0.6298859186792286,4.91835408379329e-17,0.00014839539639859,0.000118992525397766,0.0003049719965817722,0.9907244235279736
GOOGL,0.2910709843533145,0.001028090967520419,0.937080231761092,0.007911621546849785,0.0006098251665319883,0.03299201591053208,8.297593837701826e-05,0.10050060198973448,0.5926464448714052,0.8107629123573656,0.4393121995417018,0.7553530190986415,0.7858878757036329,0.27176277200477933,0.00029806137218816654,0.6103828887795412,0.9491955773822223,0.449891515403341,0.11869225302061122,0.75,0.0,0.003736587880088891,0.00020218798006561153,0.010116540253365966,0.5444738449012823,0.43560000000000004,0.5318,0.9959876224995452,0.0012307604092431951,7.093692018229919e-05,0.13923942375883025,0.0004743048738368486,0.00012056365508623872,0.9770988659692758,8.49650472711103e-05,0.00012521400644828327,United States,0.9280640402163817,0.0016166319990869268,0.001966955153422502,0.0,0.0112,0.014084507042253521,0.00024054982817869414,0.0,1.1165741452740026e-06,0.06839218800406978,2.0027813998570246e-05,1.103805545850204e-06,1.1082526480755128e-06,0.5286767474720329,0.03817142857142857,0.0373724696781143,0.6147821993161674,2.8135562662747635e-17,0.0002513316396750767,0.000101505678955844,0.0004902848417269463,0.9907256321148731
GOOG,0.2910709843533145,0.001028090967520419,0.937080231761092,0.007911621546849785,0.0006098251665319883,0.03299201591053208,8.297593837701826e-05,0.10050060198973448,0.5926465216813116,0.8107629123573656,0.4393121995417018,0.7553530190986415,0.7858878757036329,0.27176277200477933,0.0,0.6103828887795412,0.9491955773822223,0.0,0.11869225302061122,0.75,0.0,0.0037361994129328957,0.00020405579636109021,0.0073490851048050535,0.5375534296763688,0.4337,0.5323,0.9959876224995452,0.0012375865901042222,7.043998904266837e-05,0.1392407394980981,0.0004715262864095676,0.00011980179944588334,0.9770988923094032,8.434486444431386e-05,0.00012445224823414924,United States,0.9280640402163817,0.0016166319990869268,0.001966955153422502,0.0,0.0112,0.014084507042253521,0.00024054982817869414,0.0,1.1165741452740026e-06,0.06839218800406978,2.0027813998570246e-05,1.103805545850204e-06,1.1082526480755128e-06,0.5286767474720329,0.03817142857142857,0.0373724696781143,0.6110774592864576,2.830077442236448e-17,0.00024976408267086633,0.00010089090701062018,0.00048710805009588614,0.9907256500864255
META,0.272298485434058,0.0010288135939661104,0.9196816354090266,0.017196623920265077,0.0007093302763731827,0.05358275206087509,0.00012205014632072412,0.13088524174640387,0.5926420923100431,0.8108152034122033,0.43924142425923646,0.7553535697853616,0.7859294186070666,0.2717804410007603,0.0003373738439684717,0.6103783443153676,0.9492075611724341,0.4500499515877302,0.10874200426439233,0.625,0.0,0.0037351893983273076,0.0007172916001831664,0.01045849463670503,0.5620801953999592,0.4711,0.613,0.9959885066045165,0.0016416964970770295,9.839236564690185e-05,0.1392236348876161,0.000631295063478219,0.0001248014770857155,0.9770987869488936,0.00013644022189521362,0.0001273564514255353,United States,0.9302906944975685,0.0016630768371973634,0.0013768686073957516,0.0,0.028,0.014084507042253521,0.000607101947308133,0.0,1.1471077559214571e-06,0.0694964885723503,2.0339400803329578e-05,1.1278056664340098e-06,1.1344679103277386e-06,0.24229027503593667,0.040035714285714286,0.021702532172789286,0.4515330413767955,3.5834430660892325e-17,0.0003809163520231413,0.00010819986235939227,0.000757135338735997,0.9907250390536436
BRK.B,0.2400487622293099,0.0010305685439056472,0.8778592192920436,0.04372490176115745,0.0,0.035791491324148265,9.008286687899179e-05,0.0962972350717107,0.5926197918338882,0.810480258006891,0.0,0.7551722561827663,0.7823151860083501,0.27154118541583694,0.0,0.610011757538698,0.9490556238322492,0.0,0.08813077469793887,0.625,0.0013829658570444494,0.0,0.0006645163880760163,0.0015783459072429764,0.5646244657032362,0.6417,0.7191,0.9959895396426073,0.000876481622555886,2.1864970143755965e-05,0.1404354307533002,0.0003812221950229386,0.0005010629314662283,0.9770951915215029,4.1862340808758723e-05,0.00046948110934848724,0,0.9298808808261845,0.001325655820893467,0.0,0.0,0.0,0.0,0.0,0.0,9.996099306851918e-07,0.06381368340074943,1.8158293170014244e-05,1.0423052368542015e-06,1.0133319587310218e-06,0.6233295803670624,0.03214285714285715,0.09071464450716085,0.35746959933097733,4.1963786942677047e-17,0.00015571066241823882,0.00025574512921310895,0.00033673991289237353,0.9907265935929269
BRK.A,0.2400487622293099,0.0010305685439056472,0.8778592192920436,0.04372490176115745,0.0,0.035791491324148265,9.008286687899179e-05,0.0962972350717107,0.5926197406272841,0.810480258006891,0.0,0.7551722561827663,0.7823151860083501,0.27154118541583694,0.00016422254401120948,0.610011757538698,0.9490556238322492,0.44963780766527933,0.08813077469793887,0.625,0.0013829658570444494,0.0,1.0,1.3922318183963377e-07,0.5782617545288011,0.6445000000000001,0.7211,0.9996541500023536,0.0008798947129863996,2.1864970143755965e-05,0.14038543266112213,0.0003803886187947544,0.0005001106119157841,0.9770952046915665,4.170729510205961e-05,0.0004685289115808197,0,0.9298808808261845,0.001325655820893467,0.0,0.0,0.0,0.0,0.0,0.0,9.996099306851918e-07,0.06381368340074943,1.8158293170014244e-05,1.0423052368542015e-06,1.0133319587310218e-06,0.6233295803670624,0.03214285714285715,0.09071464450716085,0.35675207074293874,4.2062913998447143e-17,0.00015518814341683535,0.00025526697325571265,0.00033568098234868675,0.990726598085815
AVGO,0.19886353105956883,0.0010134319739078172,0.8856715681868871,0.023335813102778002,0.0,0.041566985645933016,8.124321917249537e-05,0.10100754071351624,0.5926214048419225,0.8104844978221483,0.43902934894381357,0.7552463235466207,0.7819205284257318,0.2718360548897498,0.0,0.6099504072723545,0.9490994930642743,0.0,0.08386638237384506,0.875,0.0013627802889114567,0.0036968865367461574,0.0002473540345126571,0.008374667448743621,0.6157134133930389,0.5153,0.6486,0.9959872142685247,0.006553816244672167,0.00016734156127067777,0.13917889975250944,0.0027510794117508127,0.00022898523590431357,0.9770967719291471,0.00026729879834925933,0.0002158632339302344,United States,0.0,0.0,0.004366640440597955,0.06742715087835313,0.02986666666666667,0.07042253521126761,0.0006758304696449026,0.30068146495038456,1.1908108152507207e-06,0.07823163014616473,2.171777632946832e-05,1.1565058106321443e-06,1.2140882421495547e-06,0.08095545367893825,0.0,0.012999946370614603,0.29341386265915087,4.8060100872538394e-17,0.000746157134004178,0.0003021262570805505,0.0016042797736853644,0.9907235833578986
