Company,Sector
Nvidia Corporation,US Technology
Apple Inc.,US Technology
Microsoft Corporation,US Technology
"Amazon.com, Inc.",US Consumer Discretionary
Alphabet Inc.,US Communication Services
Saudi Arabian Oil Company,Saudi Arabian Energy
"Meta Platforms, Inc.",US Communication Services
"Tesla, Inc.",US Consumer Discretionary
Broadcom Inc.,US Technology
Berkshire Hathaway Inc.,US Financials
Taiwan Semiconductor Manufacturing Company Limited,Taiwanese Technology
Walmart Inc.,US Consumer Staples
JPMorgan Chase & Co.,US Financials
Eli Lilly and Company,US Healthcare
Visa Inc.,US Financials
Novo Nordisk A/S,Danish Healthcare
Oracle Corporation,US Technology
Mastercard Incorporated,US Financials
Exxon Mobil Corporation,US Energy
UnitedHealth Group Incorporated,US Healthcare
Tencent Holdings Ltd,Chinese Communication Services
"Netflix, Inc.",US Communication Services
Costco Wholesale Corporation,US Consumer Staples
"The Home Depot, Inc.",US Consumer Discretionary
The Procter & Gamble Company,US Consumer Staples
Bank of America Corporation,US Financials
Johnson & Johnson,US Healthcare
"salesforce.com, inc.",US Technology
"LVMH Moët Hennessy - Louis Vuitton, SE",French Consumer Discretionary
SAP SE,German Technology
ASML Holding N.V.,Dutch Technology
Industrial & Commercial Bank of China Ltd,Chinese Financials
AbbVie Inc.,US Healthcare
Chevron Corporation,US Energy
The Coca-Cola Company,US Consumer Staples
Wells Fargo & Company,US Financials
"T-Mobile US, Inc.",US Communication Services
"Cisco Systems, Inc.",US Technology
Kweichow Moutai Co. Ltd,Chinese Consumer Staples
"Merck & Co., Inc.",US Healthcare
"Samsung Electronics Co., Ltd.",South Korean Technology
Agricultural Bank of China Ltd,Chinese Financials
"ServiceNow, Inc.",US Technology
Toyota Motor Corporation,Japanese Consumer Discretionary
American Express Company,US Financials
Accenture plc,Irish Technology
Hermès International SCA,French Consumer Discretionary
The Blackstone Group Inc.,US Financials
Morgan Stanley,US Financials
Thermo Fisher Scientific Inc.,US Healthcare
Roche Holding AG,Swiss Healthcare
"Intuitive Surgical, Inc.",US Healthcare
General Electric Company,US Industrials
AstraZeneca plc,UK Healthcare
Abbott Laboratories,US Healthcare
China Mobile Ltd,HK Communication Services
Linde plc,UK Basic Materials
International Business Machines Corporation,US Technology
Shell plc,UK Energy
"PepsiCo, Inc.",US Consumer Staples
McDonald's Corporation,US Consumer Discretionary
China Construction Bank Corp,Chinese Financials
Alibaba Group Holding Limited,Chinese Consumer Discretionary
The Walt Disney Company,US Communication Services
"The Goldman Sachs Group, Inc.",US Financials
"Advanced Micro Devices, Inc.",US Technology
PetroChina Company Limited,Chinese Energy
Caterpillar Inc.,US Industrials
Bank of China Ltd,Chinese Financials
Philip Morris International Inc.,US Consumer Staples
Qualcomm Incorporated,US Technology
Novartis AG,Swiss Healthcare
L'Oréal SA,French Consumer Staples
Adobe Inc.,US Technology
HSBC Holdings plc,UK Financials
Texas Instruments Incorporated,US Technology
Danaher Corporation,US Healthcare
Royal Bank of Canada,Canadian Financials
Intuit Inc.,US Technology
Verizon Communications Inc.,US Communication Services
"Arista Networks, Inc.",US Technology
AT&T Inc.,US Communication Services
Contemporary Amperex Technology Co. Ltd,Chinese Industrials
Palantir Technologies Inc.,US Technology
"Industria de Diseño Textil, SA",Spanish Consumer Discretionary
Booking Holdings Inc.,US Consumer Discretionary
S&P Global Inc.,US Financials
Siemens AG,German Industrials
"BlackRock, Inc.",US Financials
RTX Corporation,US Industrials
Deutsche Telekom AG,German Communication Services
"Applied Materials, Inc.",US Technology
Citigroup Inc.,US Financials
Schneider Electric SE,French Industrials
BHP Group,Australian Basic Materials
Union Pacific Corporation,US Industrials
HDFC Bank Limited,Indian Financials
The Charles Schwab Corporation,US Financials
Stryker Corporation,US Healthcare
Pfizer Inc.,US Healthcare
Boston Scientific Corporation,US Healthcare
Amgen Inc.,US Healthcare
"Lowe's Companies, Inc.",US Consumer Discretionary
Honeywell International Inc.,US Industrials
Eaton Corporation plc,Irish Industrials
Pinduoduo Inc.,Chinese Consumer Discretionary
"Uber Technologies, Inc.",US Technology
Comcast Corporation,US Communication Services
Unilever plc,UK Consumer Staples
Commonwealth Bank of Australia,Australian Financials
"NextEra Energy, Inc.",US Utilities
The Progressive Corporation,US Financials
China Merchants Bank Co Ltd,Chinese Financials
"Mitsubishi UFJ Financial Group, Inc.",Japanese Financials
"The TJX Companies, Inc.",US Consumer Discretionary
Shopify Inc.,Canadian Technology
ConocoPhillips,US Energy
TotalEnergies SE,French Energy
The Boeing Company,US Industrials
Airbus SE,Dutch Industrials
China Life Insurance Company Limited,Chinese Financials
Deere & Company,US Industrials
Sanofi,French Healthcare
Sony Group Corporation,Japanese Technology
"Palo Alto Networks, Inc.",US Technology
Allianz SE,German Financials
"Automatic Data Processing, Inc.",US Industrials
Bristol-Myers Squibb Company,US Healthcare
Meituan,Chinese Consumer Discretionary
CNOOC Limited,HK Energy
Lockheed Martin Corporation,US Industrials
"Fiserv, Inc.",US Technology
SinoCloud Group Ltd,HK Technology
EssilorLuxottica SA,French Healthcare
"Micron Technology, Inc.",US Technology
Ping An Insurance (Group) Company of China Ltd,Chinese Financials
"Gilead Sciences, Inc.",US Healthcare
AppLovin Corp,US Technology
Medtronic plc,Irish Healthcare
"United Parcel Service, Inc.",US Industrials
"Analog Devices, Inc.",US Technology
Vertex Pharmaceuticals Incorporated,US Healthcare
Xiaomi Corp,Chinese Technology
Starbucks Corporation,US Consumer Discretionary
"Nike, Inc.",US Consumer Discretionary
"Prologis, Inc.",US Real Estate
"Marvell Technology, Inc.",US Technology
Marvell Technology Group Ltd.,Bermuda Technology
Chubb Limited,Swiss Financials
Hitachi Ltd,Japanese Industrials
"Marsh & McLennan Companies, Inc.",US Financials
BYD Co Ltd,Chinese Consumer Discretionary
Christian Dior SE,French Consumer Discretionary
Lam Research Corporation,US Technology
Recruit Holdings Co Ltd,Japanese Industrials
Rio Tinto Group,UK Basic Materials
Open Joint Stock Company OMZ,Russian Industrials
KLA Corporation,US Technology
China Shenhua Energy Company Ltd,Chinese Energy
Spotify Technology SA,Luxembourg Communication Services
"SK hynix, Inc.",South Korean Technology
Safran SA,French Industrials
Keyence Corp,Japanese Technology
ABB Ltd,Swiss Industrials
China Petroleum & Chemical Corporation,Chinese Energy
Al Rajhi Banking and Investment Corp,Saudi Arabian Financials
China Yangtze Power Co. Ltd,Chinese Utilities
Dell Technologies Inc.,US Technology
ICICI Bank Limited,Indian Financials
KKR & Co. Inc.,US Financials
Air Liquide SA,French Basic Materials
"Apollo Global Management, Inc.",US Financials
CSL Limited,Australian Healthcare
"MercadoLibre, Inc.",Argentinian Consumer Discretionary
Amphenol Corporation,US Technology
Fast Retailing Co. Ltd,Japanese Consumer Discretionary
UBS Group AG,Swiss Financials
"Sumitomo Mitsui Financial Group, Inc.",Japanese Financials
"CrowdStrike Holdings, Inc.",US Technology
Intel Corporation,US Technology
Anheuser-Busch InBev SA/NV,Belgian Consumer Staples
RELX plc,UK Communication Services
MicroStrategy Incorporated,US Technology
Toronto-Dominion Bank,Canadian Financials
DBS Group Holdings Ltd,Singaporean Financials
The Sherwin-Williams Company,US Basic Materials
Enbridge Inc.,Canadian Energy
"Equinix, Inc. (REIT)",US Real Estate
"Intercontinental Exchange, Inc.",US Financials
Infosys Limited,Indian Technology
The Southern Company,US Utilities
"PayPal Holdings, Inc.",US Financials
"Iberdrola, SA",Spanish Utilities
Trane Technologies plc,Irish Industrials
"Cadence Design Systems, Inc.",US Technology
"Elevance Health, Inc.",US Healthcare
